Sherlock	NP0	sherlock
more	AV0	more
irritable	AJ0	irritable
at	PRP	at
the	AT0	the
sight	NN1	sight
,	PUN	,
and	CJC	and
my	DPS	i
conscience	NN1	conscience
swelled	VVD	swell
nightly	AJ0	nightly
within	PRP	within
me	PNP	i
at	PRP	at
the	AT0	the
thought	NN1	thought
that	CJT	that
I	PNP	i
had	VHD	have
lacked	VVN	lack
the	AT0	the
courage	NN1	courage
to	TO0	to
protest	VVI	protest
.	SENT	.
Again	AV0	again
and	CJC	and
again	AV0	again
I	PNP	i
had	VHD	have
registered	VVN	register|registered
a	AT0	a
vow	NN1	vow
that	CJT	that
I	PNP	i
should	VM0	should
deliver	VVI	deliver
my	DPS	i
soul	NN1	soul
upon	PRP	upon
the	AT0	the
subject	NN1	subject
,	PUN	,
but	CJC	but
there	EX0	there
was	VBD	be
that	DT0	that
in	PRP	in
the	AT0	the
cool	AJ0	cool
,	PUN	,
nonchalant	AJ0	nonchalant
air	NN1	air
of	PRF	of
my	DPS	i
companion	NN1	companion
which	DTQ	which
made	VVD	make
him	PNP	he
the	AT0	the
last	ORD	last
man	NN1	man
with	PRP	with
whom	PNQ	whom
one	PNI	one
would	VM0	would
care	VVI	care
to	TO0	to
take	VVI	take
anything	PNI	anything
approaching	VVG	approach|approaching
to	PRP	to
a	AT0	a
liberty	NN1	liberty
.	SENT	.
His	DPS	he
great	AJ0	great
powers	NN2	power
,	PUN	,
his	DPS	he
masterly	AJ0	masterly
manner	NN1	manner
,	PUN	,
and	CJC	and
the	AT0	the
experience	NN1	experience
which	DTQ	which
I	PNP	i
had	VHD	have
had	VHN	have
of	PRF	of
his	DPS	he
many	DT0	many
extraordinary	AJ0	extraordinary
qualities	NN2	quality
,	PUN	,
all	DT0	all
made	VVD	make
me	PNP	i
diffident	AJ0	diffident
and	CJC	and
backward	AJ0	backward
in	PRP	in
crossing	VVG	cross|crossing
replaced-dns	NN2	replaced-dns
"<repdns text=""him.Yet"" />"
upon	PRP	upon
that	DT0	that
afternoon	NN1	afternoon
,	PUN	,
whether	CJS	whether
it	PNP	it
was	VBD	be
the	AT0	the
Beaune	NN1	beaune
which	DTQ	which
I	PNP	i
had	VHD	have
taken	VVN	take|taken
with	PRP	with
my	DPS	i
lunch	NN1	lunch
,	PUN	,
or	CJC	or
the	AT0	the
additional	AJ0	additional
exasperation	NN1	exasperation
produced	VVN	produce|produced
by	PRP	by
the	AT0	the
extreme	AJ0	extreme
deliberation	NN1	deliberation
of	PRF	of
his	DPS	he
manner	NN1	manner
,	PUN	,
I	PNP	i
suddenly	AV0	suddenly
felt	VVD	feel
that	CJT	that
I	PNP	i
could	VM0	could
hold	VVI	hold
out	AVP	out
no	AV0	no
longer	AV0	longer
.	SENT	.
""""	PUQ	""""
Which	DTQ	which
is	VBZ	be
it	PNP	it
to-day	AV0	to-day
?	SENT	?
""""	PUQ	""""
I	PNP	i
asked	VVD	ask
,	PUN	,
---	AJ0	---
""""	PUQ	""""
morphine	NN1	morphine
or	CJC	or
cocaine	NN1	cocaine
?	SENT	?
""""	PUQ	""""
He	PNP	he
raised	VVD	raise|raised
his	DPS	he
eyes	NN2	eye
languidly	AV0	languidly
from	PRP	from
the	AT0	the
old	AJ0	old
black-letter	AJ0	black-letter
volume	NN1	volume
which	DTQ	which
he	PNP	he
had	VHD	have
opened	VVN	open
.	SENT	.
""""	PUQ	""""
It	PNP	it
is	VBZ	be
cocaine	NN1	cocaine
,	PUN	,
""""	PUQ	""""
he	PNP	he
said	VVD	say|said
,	PUN	,
---	AJ0	---
""""	PUQ	""""
a	AT0	a
seven-per-cent	NN1	seven-per-cent
.	SENT	.
solution	NN1	solution
.	SENT	.
Would	VM0	would
you	PNP	you
care	VVI	care
to	TO0	to
try	VVI	try
it	PNP	it
?	SENT	?
""""	PUQ	""""
""""	PUQ	""""
No	ITJ	no
,	PUN	,
indeed	AV0	indeed
,	PUN	,
""""	PUQ	""""
I	PNP	i
answered	VVD	answer
,	PUN	,
brusquely	AV0	brusquely
.	SENT	.
""""	PUQ	""""
My	DPS	i
constitution	NN1	constitution
has	VHZ	have
not	XX0	not
got	VVN	get
over	PRP	over
the	AT0	the
Afghan	AJ0	afghan
campaign	NN1	campaign
yet	AV0	yet
.	SENT	.
I	PNP	i
cannot	VVB	cannot
afford	VVI	afford
to	TO0	to
throw	VVI	throw
any	DT0	any
extra	AJ0	extra
strain	NN1	strain
upon	PRP	upon
it	PNP	it
.	SENT	.
""""	PUQ	""""
He	PNP	he
smiled	VVD	smile
at	PRP	at
my	DPS	i
vehemence	NN1	vehemence
.	SENT	.
""""	PUQ	""""
Perhaps	AV0	perhaps
you	PNP	you
are	VBB	be
right	AJ0	right
,	PUN	,
Watson	NP0	watson
,	PUN	,
""""	PUQ	""""
he	PNP	he
said	VVD	say|said
.	SENT	.
""""	PUQ	""""
I	PNP	i
suppose	VVB	suppose
that	CJT	that
its	DPS	it
influence	NN1	influence
is	VBZ	be
physically	AV0	physically
a	AT0	a
bad	AJ0	bad
one	PNI	one
.	SENT	.
I	PNP	i
find	VVB	find
it	PNP	it
,	PUN	,
however	AV0	however
,	PUN	,
so	AV0	so
transcendently	AV0	transcendently
stimulating	AJ0	stimulating|stimulate
and	CJC	and
clarifying	VVG	clarify|clarifying
to	PRP	to
the	AT0	the
mind	NN1	mind
that	CJT	that
its	DPS	it
secondary	AJ0	secondary
action	NN1	action
is	VBZ	be
a	AT0	a
matter	NN1	matter
of	PRF	of
small	AJ0	small
moment	NN1	moment
.	SENT	.
""""	PUQ	""""
""""	PUQ	""""
But	CJC	but
consider	VVB	consider
!	SENT	!
""""	PUQ	""""
I	PNP	i
said	VVD	say|said
,	PUN	,
earnestly	AV0	earnestly
.	SENT	.
""""	PUQ	""""
Count	VVB	count
the	AT0	the
cost	NN1	cost
!	SENT	!
Your	DPS	you
brain	NN1	brain
may	VM0	may
,	PUN	,
as	CJS	as
you	PNP	you
say	VVB	say
,	PUN	,
be	VBI	be
roused	VVN	rouse
and	CJC	and
excited	VVN	excite|excited
,	PUN	,
but	CJC	but
it	PNP	it
is	VBZ	be
a	AT0	a
pathological	AJ0	pathological
and	CJC	and
morbid	AJ0	morbid
process	NN1	process
,	PUN	,
which	DTQ	which
involves	VVZ	involve
increased	AJ0	increased|increase
tissue-change	NN1	tissue-change
and	CJC	and
may	VM0	may
at	PRP	at
last	ORD	last
leave	VVI	leave
a	AT0	a
permanent	AJ0	permanent
weakness	NN1	weakness
.	SENT	.
You	PNP	you
know	VVB	know
,	PUN	,
too	AV0	too
,	PUN	,
what	DTQ	what
a	AT0	a
black	AJ0	black
reaction	NN1	reaction
comes	VVZ	come
upon	PRP	upon
you	PNP	you
.	SENT	.
Surely	AV0	surely
the	AT0	the
game	NN1	game
is	VBZ	be
hardly	AV0	hardly
worth	PRP	worth
the	AT0	the
candle	NN1	candle
.	SENT	.
Why	AVQ	why
should	VM0	should
you	PNP	you
,	PUN	,
for	PRP	for
a	AT0	a
mere	AJ0	mere
passing	AJ0	passing|pass
pleasure	NN1	pleasure
,	PUN	,
risk	VVB	risk
the	AT0	the
loss	NN1	loss
of	PRF	of
those	DT0	those
great	AJ0	great
powers	NN2	power
with	PRP	with
which	DTQ	which
you	PNP	you
have	VHB	have
been	VBN	be
endowed	VVN	endow
?	SENT	?
Remember	VVB	remember
that	CJT	that
I	PNP	i
speak	VVB	speak
not	XX0	not
only	AV0	only
as	CJS	as
one	CRD	one
comrade	NN1	comrade
to	PRP	to
another	DT0	another
,	PUN	,
but	CJC	but
as	CJS	as
a	AT0	a
medical	AJ0	medical
man	NN1	man
to	PRP	to
one	PNI	one
for	PRP	for
whose	DTQ	whose
constitution	NN1	constitution
he	PNP	he
is	VBZ	be
to	PRP	to
some	DT0	some
extent	NN1	extent
answerable	AJ0	answerable
.	SENT	.
""""	PUQ	""""
He	PNP	he
did	VDD	do
not	XX0	not
seem	VVI	seem
offended	VVN	offend|offended
.	SENT	.
On	PRP	on
the	AT0	the
contrary	NN1	contrary
,	PUN	,
he	PNP	he
put	VVD	put
his	DPS	he
finger-tips	NN2	finger-tip
together	AV0	together
and	CJC	and
leaned	VVD	lean
his	DPS	he
elbows	NN2	elbow
on	PRP	on
the	AT0	the
arms	NN2	arm
of	PRF	of
his	DPS	he
chair	NN1	chair
,	PUN	,
like	PRP	like
one	PNI	one
who	PNQ	who
has	VHZ	have
a	AT0	a
relish	NN1	relish
for	PRP	for
conversation	NN1	conversation
.	SENT	.
""""	PUQ	""""
My	DPS	i
mind	NN1	mind
,	PUN	,
""""	PUQ	""""
he	PNP	he
said	VVD	say|said
,	PUN	,
""""	PUQ	""""
rebels	NN2	rebel
at	PRP	at
stagnation	NN1	stagnation
.	SENT	.
Give	VVB	give
me	PNP	i
problems	NN2	problem
,	PUN	,
give	VVB	give
me	PNP	i
work	VVB	work
,	PUN	,
give	VVB	give
me	PNP	i
the	AT0	the
most	AV0	most
abstruse	AJ0	abstruse
cryptogram	NN1	cryptogram
or	CJC	or
the	AT0	the
most	AV0	most
intricate	AJ0	intricate
analysis	NN1	analysis
,	PUN	,
and	CJC	and
I	PNP	i
am	VBB	be
in	PRP	in
my	DPS	i
own	DT0	own
proper	AJ0	proper
atmosphere	NN1	atmosphere
.	SENT	.
I	PNP	i
can	VM0	can
dispense	VVI	dispense
then	AV0	then
with	PRP	with
artificial	AJ0	artificial
stimulants	NN2	stimulant
.	SENT	.
But	CJC	but
I	PNP	i
abhor	VVB	abhor
the	AT0	the
dull	AJ0	dull
routine	NN1	routine
of	PRF	of
existence	NN1	existence
.	SENT	.
I	PNP	i
crave	VVB	crave
for	PRP	for
mental	AJ0	mental
exaltation	NN1	exaltation
.	SENT	.
That	DT0	that
is	VBZ	be
why	AVQ	why
I	PNP	i
have	VHB	have
chosen	VVN	choose|chosen
my	DPS	i
own	DT0	own
particular	AJ0	particular
profession	NN1	profession
,	PUN	,
---	AJ0	---
or	CJC	or
rather	AV0	rather
created	VVD	create|created
it	PNP	it
,	PUN	,
for	CJS	for
I	PNP	i
am	VBB	be
the	AT0	the
only	AJ0	only
one	PNI	one
in	PRP	in
the	AT0	the
world	NN1	world
.	SENT	.
""""	PUQ	""""
""""	PUQ	""""
The	AT0	the
only	AV0	only
unofficial	AJ0	unofficial
detective	NN1	detective
?	SENT	?
""""	PUQ	""""
I	PNP	i
said	VVD	say|said
,	PUN	,
raising	VVG	raise|raising
my	DPS	i
eyebrows	NN2	eyebrow
.	SENT	.
""""	PUQ	""""
The	AT0	the
only	AV0	only
unofficial	AJ0	unofficial
consulting	AJ0	consulting
detective	NN1	detective
,	PUN	,
""""	PUQ	""""
he	PNP	he
answered	VVD	answer
.	SENT	.
""""	PUQ	""""
I	PNP	i
am	VBB	be
the	AT0	the
last	ORD	last
and	CJC	and
highest	AJS	high
court	NN1	court
of	PRF	of
appeal	NN1	appeal
in	PRP	in
detection	NN1	detection
.	SENT	.
When	CJS	when
Gregson	NP0	gregson
or	CJC	or
Lestrade	NP0	Lestrade
or	CJC	or
Athelney	NP0	athelney
Jones	NP0	jones
are	VBB	be
out	AVP	out
of	PRF	of
their	DPS	they
depths	NN2	depth
---	AJ0	---
which	DTQ	which
,	PUN	,
by	PRP	by
the	AT0	the
way	NN1	way
,	PUN	,
is	VBZ	be
their	DPS	they
normal	AJ0	normal
state	NN1	state
---	NN1	---
the	AT0	the
matter	NN1	matter
is	VBZ	be
laid	VVN	lay|laid
before	PRP	before
me	PNP	i
.	SENT	.
I	PNP	i
examine	VVB	examine
the	AT0	the
data	NN0	data
,	PUN	,
as	CJS	as
an	AT0	an
expert	NN1	expert
,	PUN	,
and	CJC	and
pronounce	VVB	pronounce
a	AT0	a
specialist	NN1	specialist
's	POS	's
opinion	NN1	opinion
.	SENT	.
I	PNP	i
claim	VVB	claim
no	AT0	no
credit	NN1	credit
in	PRP	in
such	DT0	such
cases	NN2	case
.	SENT	.
My	DPS	i
name	NN1	name
figures	NN2	figure
in	PRP	in
no	AT0	no
newspaper	NN1	newspaper
.	SENT	.
The	AT0	the
work	NN1	work
itself	PNX	itself
,	PUN	,
the	AT0	the
pleasure	NN1	pleasure
of	PRF	of
finding	VVG	find|finding
a	AT0	a
field	NN1	field
for	PRP	for
my	DPS	i
peculiar	AJ0	peculiar
powers	NN2	power
,	PUN	,
is	VBZ	be
my	DPS	i
highest	AJS	high
reward	NN1	reward
.	SENT	.
But	CJC	but
you	PNP	you
have	VHB	have
yourself	PNX	yourself
had	VHD	have
some	DT0	some
experience	NN1	experience
of	PRF	of
my	DPS	i
methods	NN2	method
of	PRF	of
work	NN1	work
in	PRP	in
the	AT0	the
Jefferson	NP0	jefferson
Hope	NP0	hope
case	NN1	case
.	SENT	.
""""	PUQ	""""
""""	PUQ	""""
Yes	ITJ	yes
,	PUN	,
indeed	AV0	indeed
,	PUN	,
""""	PUQ	""""
said	VVD	say|said
I	PNP	i
,	PUN	,
cordially	AV0	cordially
.	SENT	.
""""	PUQ	""""
I	PNP	i
was	VBD	be
never	AV0	never
so	AV0	so
struck	VVN	strike
by	PRP	by
anything	PNI	anything
in	PRP	in
my	DPS	i
life	NN1	life
.	SENT	.
I	PNP	i
even	AV0	even
embodied	VVD	embody
it	PNP	it
in	PRP	in
a	AT0	a
small	AJ0	small
brochure	NN1	brochure
with	PRP	with
the	AT0	the
somewhat	AV0	somewhat
fantastic	AJ0	fantastic
title	NN1	title
of	PRF	of
'	PUQ	'
A	AT0	a
Study	NN1	study
in	PRP	in
Scarlet	NP0	scarlet
.	SENT	.
'	PUQ	'
""""	PUQ	""""
He	PNP	he
shook	VVD	shake
his	DPS	he
head	NN1	head
sadly	AV0	sadly
.	SENT	.
""""	PUQ	""""
I	PNP	i
glanced	VVD	glance
over	PRP	over
it	PNP	it
,	PUN	,
""""	PUQ	""""
said	VVD	say|said
he	PNP	he
.	SENT	.
""""	PUQ	""""
Honestly	AV0	honestly
,	PUN	,
I	PNP	i
cannot	VVB	cannot
congratulate	VVB	congratulate
you	PNP	you
upon	PRP	upon
it	PNP	it
.	SENT	.
Detection	NN1	detection
is	VBZ	be
,	PUN	,
or	CJC	or
ought	VM0	ought
to	TO0	to
be	VBI	be
,	PUN	,
an	AT0	an
exact	AJ0	exact
science	NN1	science
,	PUN	,
and	CJC	and
should	VM0	should
be	VBI	be
treated	VVN	treat|treated
in	PRP	in
the	AT0	the
same	DT0	same
cold	AJ0	cold
and	CJC	and
unemotional	AJ0	unemotional
manner	NN1	manner
.	SENT	.
You	PNP	you
have	VHB	have
attempted	VVN	attempt|attempted
to	TO0	to
tinge	VVI	tinge
it	PNP	it
with	PRP	with
romanticism	NN1	romanticism
,	PUN	,
which	DTQ	which
produces	VVZ	produce
much	DT0	much
the	AT0	the
same	DT0	same
effect	NN1	effect
as	CJS	as
if	CJS	if
you	PNP	you
worked	VVD	work|worked
a	AT0	a
love-story	NN1	love-story
or	CJC	or
an	AT0	an
elopement	NN1	elopement
into	PRP	into
the	AT0	the
fifth	ORD	fifth
proposition	NN1	proposition
of	PRF	of
Euclid	NP0	euclid
.	SENT	.
""""	PUQ	""""
""""	PUQ	""""
But	CJC	but
the	AT0	the
romance	NN1	romance
was	VBD	be
there	AV0	there
,	PUN	,
""""	PUQ	""""
I	PNP	i
remonstrated	VVD	remonstrate
.	SENT	.
""""	PUQ	""""
I	PNP	i
could	VM0	could
not	XX0	not
tamper	VVI	tamper
with	PRP	with
the	AT0	the
facts	NN2	fact
.	SENT	.
""""	PUQ	""""
""""	PUQ	""""
Some	DT0	some
facts	NN2	fact
should	VM0	should
be	VBI	be
suppressed	VVN	suppress
,	PUN	,
or	CJC	or
at	PRP	at
least	AV0	least
a	AT0	a
just	AJ0	just
sense	NN1	sense
of	PRF	of
proportion	NN1	proportion
should	VM0	should
be	VBI	be
observed	VVN	observe|observed
in	PRP	in
treating	VVG	treat
them	PNP	they
.	SENT	.
The	AT0	the
only	AJ0	only
point	NN1	point
in	PRP	in
the	AT0	the
case	NN1	case
which	DTQ	which
deserved	VVD	deserve|deserved
mention	NN1	mention
was	VBD	be
the	AT0	the
curious	AJ0	curious
analytical	AJ0	analytical
reasoning	NN1	reasoning|reason
from	PRP	from
effects	NN2	effect
to	PRP	to
causes	NN2	cause
by	PRP	by
which	DTQ	which
I	PNP	i
succeeded	VVD	succeed
in	PRP	in
unraveling	VVG	unraveling
it	PNP	it
.	SENT	.
""""	PUQ	""""
I	PNP	i
was	VBD	be
annoyed	AJ0	annoyed|annoy
at	PRP	at
this	DT0	this
criticism	NN1	criticism
of	PRF	of
a	AT0	a
work	NN1	work
which	DTQ	which
had	VHD	have
been	VBN	be
specially	AV0	specially
designed	VVN	design
to	TO0	to
please	VVI	please
him	PNP	he
.	SENT	.
I	PNP	i
confess	VVB	confess
,	PUN	,
too	AV0	too
,	PUN	,
that	CJT	that
I	PNP	i
was	VBD	be
irritated	VVN	irritate|irritated
by	PRP	by
the	AT0	the
egotism	NN1	egotism
which	DTQ	which
seemed	VVD	seem
to	TO0	to
demand	VVI	demand
that	CJT	that
every	AT0	every
line	NN1	line
of	PRF	of
my	DPS	i
pamphlet	NN1	pamphlet
should	VM0	should
be	VBI	be
devoted	VVN	devoted|devote
to	PRP	to
his	DPS	he
own	DT0	own
special	AJ0	special
doings	NN2	doing
.	SENT	.
More	AV0	more
than	CJS	than
once	AV0	once
during	PRP	during
the	AT0	the
years	NN2	year
that	CJT	that
I	PNP	i
had	VHD	have
lived	VVN	live
with	PRP	with
him	PNP	he
in	PRP	in
Baker	NP0	baker
Street	NP0	street
I	PNP	i
had	VHD	have
observed	VVN	observe|observed
that	CJT	that
a	AT0	a
small	AJ0	small
vanity	NN1	vanity
underlay	VVD	underlie
my	DPS	i
companion	NN1	companion
's	POS	's
quiet	AJ0	quiet
and	CJC	and
didactic	AJ0	didactic
manner	NN1	manner
.	SENT	.
I	PNP	i
made	VVD	make
no	AT0	no
remark	NN1	remark
,	PUN	,
however	AV0	however
,	PUN	,
but	CJC	but
sat	VVD	sit
nursing	VVG	nurse|nursing
my	DPS	i
wounded	AJ0	wounded|wound
leg	NN1	leg
.	SENT	.
I	PNP	i
had	VHD	have
a	AT0	a
Jezail	NP0	Jezail
bullet	NN1	bullet
through	PRP	through
it	PNP	it
some	DT0	some
time	NN1	time
before	AV0	before
,	PUN	,
and	CJC	and
,	PUN	,
though	CJS	though
it	PNP	it
did	VDD	do
not	XX0	not
prevent	VVI	prevent
me	PNP	i
from	PRP	from
walking	VVG	walk|walking
,	PUN	,
it	PNP	it
ached	VVD	ache
wearily	AV0	wearily
at	PRP	at
every	AT0	every
change	NN1	change
of	PRF	of
the	AT0	the
weather	NN1	weather
.	SENT	.
""""	PUQ	""""
My	DPS	i
practice	NN1	practice
has	VHZ	have
extended	VVN	extend|extended
recently	AV0	recently
to	PRP	to
the	AT0	the
Continent	NN1	continent
,	PUN	,
""""	PUQ	""""
said	VVD	say|said
Holmes	NP0	holmes
,	PUN	,
after	PRP	after
a	AT0	a
while	NN1	while
,	PUN	,
filling	VVG	fill|filling
up	AVP	up
his	DPS	he
old	AJ0	old
brier-root	NN1	brier-root
pipe	NN1	pipe
.	SENT	.
""""	PUQ	""""
I	PNP	i
was	VBD	be
consulted	VVN	consult
last	ORD	last
week	NN1	week
by	PRP	by
Francois	NP0	francois
Le	NP0	le
Villard	NP0	villard
,	PUN	,
who	PNQ	who
,	PUN	,
as	CJS	as
you	PNP	you
probably	AV0	probably
know	VVB	know
,	PUN	,
has	VHZ	have
come	VVN	come
rather	AV0	rather
to	PRP	to
the	AT0	the
front	NN1	front
lately	AV0	lately
in	PRP	in
the	AT0	the
French	AJ0	french
detective	NN1	detective
service	NN1	service
.	SENT	.
He	PNP	he
has	VHZ	have
all	DT0	all
the	AT0	the
Celtic	AJ0	celtic
power	NN1	power
of	PRF	of
quick	AJ0	quick
intuition	NN1	intuition
,	PUN	,
but	CJC	but
he	PNP	he
is	VBZ	be
deficient	AJ0	deficient
in	PRP	in
the	AT0	the
wide	AJ0	wide
range	NN1	range
of	PRF	of
exact	AJ0	exact
knowledge	NN1	knowledge
which	DTQ	which
is	VBZ	be
essential	AJ0	essential
to	PRP	to
the	AT0	the
higher	AJC	high
developments	NN2	development
of	PRF	of
his	DPS	he
art	NN1	art
.	SENT	.
The	AT0	the
case	NN1	case
was	VBD	be
concerned	AJ0	concerned|concern
with	PRP	with
a	AT0	a
will	NN1	will
,	PUN	,
and	CJC	and
possessed	VVD	possess|possessed
some	DT0	some
features	NN2	feature
of	PRF	of
interest	NN1	interest
.	SENT	.
I	PNP	i
was	VBD	be
able	AJ0	able
to	TO0	to
refer	VVI	refer
him	PNP	he
to	PRP	to
two	CRD	two
parallel	AJ0	parallel
cases	NN2	case
,	PUN	,
the	AT0	the
one	PNI	one
at	PRP	at
Riga	NP0	riga
in	PRP	in
1857	CRD	1857
,	PUN	,
and	CJC	and
the	AT0	the
other	NN1	other
at	PRP	at
St.	NP0	st.
Louis	NP0	louis
in	PRP	in
1871	CRD	1871
,	PUN	,
which	DTQ	which
have	VHB	have
suggested	VVN	suggest|suggested
to	PRP	to
him	PNP	he
the	AT0	the
true	AJ0	true
solution	NN1	solution
.	SENT	.
Here	AV0	here
is	VBZ	be
the	AT0	the
letter	NN1	letter
which	DTQ	which
I	PNP	i
had	VHD	have
this	DT0	this
morning	NN1	morning
acknowledging	VVG	acknowledge
my	DPS	i
assistance	NN1	assistance
.	SENT	.
""""	PUQ	""""
He	PNP	he
tossed	VVD	toss
over	AVP	over
,	PUN	,
as	CJS	as
he	PNP	he
spoke	VVD	speak
,	PUN	,
a	AT0	a
crumpled	AJ0	crumpled|crumple
sheet	NN1	sheet
of	PRF	of
foreign	AJ0	foreign
notepaper	NN1	notepaper
.	SENT	.
I	PNP	i
glanced	VVD	glance
my	DPS	i
eyes	NN2	eye
down	PRP	down
it	PNP	it
,	PUN	,
catching	VVG	catch|catching
a	AT0	a
profusion	NN1	profusion
of	PRF	of
notes	NN2	note
of	PRF	of
admiration	NN1	admiration
,	PUN	,
with	PRP	with
stray	AJ0	stray
""""	PUQ	""""
magnifiques	NN2	magnifiques
,	PUN	,
""""	PUQ	""""
""""	PUQ	""""
coup-de-maitres	NN2	coup-de-maitres
,	PUN	,
""""	PUQ	""""
and	CJC	and
""""	PUQ	""""
tours-de-force	NN1	tours-de-force
,	PUN	,
""""	PUQ	""""
all	DT0	all
testifying	VVG	testify
to	PRP	to
the	AT0	the
ardent	AJ0	ardent
admiration	NN1	admiration
of	PRF	of
the	AT0	the
Frenchman	NN1	frenchman
.	SENT	.
""""	PUQ	""""
He	PNP	he
speaks	VVZ	speak
as	PRP	as
a	AT0	a
pupil	NN1	pupil
to	PRP	to
his	DPS	he
master	NN1	master
,	PUN	,
""""	PUQ	""""
said	VVD	say|said
I	PNP	i
.	SENT	.
""""	PUQ	""""
Oh	ITJ	oh
,	PUN	,
he	PNP	he
rates	VVZ	rate
my	DPS	i
assistance	NN1	assistance
too	AV0	too
highly	AV0	highly
,	PUN	,
""""	PUQ	""""
said	VVD	say|said
Sherlock	NP0	sherlock
Holmes	NP0	holmes
,	PUN	,
lightly	AV0	lightly
.	SENT	.
""""	PUQ	""""
He	PNP	he
has	VHZ	have
considerable	AJ0	considerable
gifts	NN2	gift
himself	PNX	himself
.	SENT	.
He	PNP	he
possesses	VVZ	possess
two	CRD	two
out	AVP	out
of	PRF	of
the	AT0	the
three	CRD	three
qualities	NN2	quality
necessary	AJ0	necessary
for	PRP	for
the	AT0	the
ideal	AJ0	ideal
detective	NN1	detective
.	SENT	.
He	PNP	he
has	VHZ	have
the	AT0	the
power	NN1	power
of	PRF	of
observation	NN1	observation
and	CJC	and
that	DT0	that
of	PRF	of
deduction	NN1	deduction
.	SENT	.
He	PNP	he
is	VBZ	be
only	AV0	only
wanting	VVG	want|wanting
in	PRP	in
knowledge	NN1	knowledge
;	PUN	;
and	CJC	and
that	DT0	that
may	VM0	may
come	VVI	come
in	PRP	in
time	NN1	time
.	SENT	.
He	PNP	he
is	VBZ	be
now	AV0	now
translating	VVG	translate|translating
my	DPS	i
small	AJ0	small
works	NN0	works
into	PRP	into
French	NN1	french
.	SENT	.
""""	PUQ	""""
""""	PUQ	""""
Your	DPS	you
works	NN0	works
?	SENT	?
""""	PUQ	""""
""""	PUQ	""""
Oh	ITJ	oh
,	PUN	,
did	VDD	do
n't	XX0	not
you	PNP	you
know	VVI	know
?	SENT	?
""""	PUQ	""""
he	PNP	he
cried	VVD	cry
,	PUN	,
laughing	VVG	laugh|laughing
.	SENT	.
""""	PUQ	""""
Yes	ITJ	yes
,	PUN	,
I	PNP	i
have	VHB	have
been	VBN	be
guilty	AJ0	guilty
of	PRF	of
several	DT0	several
monographs	NN2	monograph
.	SENT	.
They	PNP	they
are	VBB	be
all	DT0	all
upon	PRP	upon
technical	AJ0	technical
subjects	NN2	subject
.	SENT	.
Here	AV0	here
,	PUN	,
for	PRP	for
example	NN1	example
,	PUN	,
is	VBZ	be
one	PNI	one
'	POS	'
Upon	PRP	upon
the	AT0	the
Distinction	NN1	distinction
between	PRP	between
the	AT0	the
Ashes	NN2	ash
of	PRF	of
the	AT0	the
Various	AJ0	various
Tobaccoes	NP0	Tobaccoes
.	SENT	.
'	PUQ	'
